,,,,,,,,
,Year,Salary (14),Type of Organization/Industry (15),Location of employment (17),,,,
,2012,"$52,000",University/College,"Ann Arbor, MI, USA",,,,
,2012,"$46,000",Academic Library/Archives,"Ann Arbor, MI, USA",,,,
,2012,"$50,000",Academic Library/Archives,"East Lansing, MI",,,,
,2012,"$44,352","Research, University/College/Academic Library/Archives","Champaign, IL, USA",,,,
,2012,"$48,000",Academic Library/Archives,"Providence, RI",,,,
,2012,"$38,000",Academic Library/Archives,"Paul Smiths, NY, USA",,,,
,2012,"$43,000",Academic Library/Archives,"Jonesboro, AR",,,,
,2012,"$70,000",Consulting,"Houston, TX, USA",,,,
,2012,"$104,000",technology:software/internet,"Palo Alto, CA, USA",,,,
,2012,"$88,000",Consulting,"San Francisco, CA, USA",,,,
,2012,"$95,000",technology:software/internet,"San Bruno, CA",,,,
,2012,"$80,000",technology:software/internet,"San Francisco, CA, USA",,,,
,2012,"$117,000",technology:software/internet,"Seattle, WA, USA",,,,
,2012,"$76, 700",Consulting,"San Francisco, CA USA",,,,
,2012,"$66,000","Defense/Aerospace,",,,,,
,2012,"$65,000",Healthcare,"Philadelphia, PA, USA",,,,
,2012,"$75,000",technology:software/internet,"Washington, DC, USA",,,,
,2012,"$32,500",Musuem/Historical Society/Archives,"Columbia, MD, USA",,,,
,2012,"$50,000",Academic Library/Archives,"Towson, MD, USA",,,,
,2012,"$58,000","Nonprofit, ","Washington, DC, USA",,,,
,2012,"$70,000",Automotive/Transportation,"Dearborn,MI, US",,,,
,2012,"$74,000",technology:software/internet,"Bingham Farms, MI, USA",,,,
,2012,"$55,000",Advertising/Interactive Design Agency,"Detroit, MI",,,,
,2012,"$62,500",technology:software/internet,"Madison, WI",,,,
,2012,"$35,000",Public Library,"Albion, MI, USA",,,,
,2012,"$45,000",Academic Library/Archives,"West Lafayette, IN",,,,
,2012,"$48,000",Academic Library/Archives,"Ann Arbor, MI, USA",,,,
,2012,"$35,000",Public Library,"Chelsea, MI, USA",,,,
,2012,"$70,000",Financial Services/Banking,"New York, NY",,,,
,2012,"$50,000",Nonprofit,"New York, NY",,,,
,2012,"$47,500",Academic Library/Archives,"Potsdam, NY, USA",,,,
,2012,"$38,000",Academic Library/Archives,"Salt Lake City, UT, USA",,,,
,2012,"$55,000",Entertainment,"San Francisco, CA, USA",,,,
,2012,"$92,500",technology:software/internet,"San Diego, CA, USA",,,,
,2012,"$120,000",technology:software/internet,"Santa Clara, CA, USA",,,,
,2012,"$54,100",Academic Library/Archives,"Portland, OR, USA",,,,
,2012,"$72,500",Government/Government Library/Archives,"Washington, DC",,,,
,2012,"$115,000","Advertising/Interactive Design Agency, Technology/Telecommunications","New York, NY, USA",,,,
,2012,"$30,000",special library,"Charleston, SC, USA",,,,
,2012,"$70,000",Healthcare,"San Francisco, CA, USA",,,,
,2012,"$27,500",K12 School/Library,"Dhaka, Bangladesh",,,,
,2012,"$65,000",Advertising/Interactive Design Agency,"Bloomington Hills, MI",,,,
,2012,"$75,000",Advertising/Interactive Design Agency,"Dearborn,MI, US",,,,
,2012,"$66,000",Consulting,"Ann Arbor, MI",,,,
,2012,"$70,000",Start-Up,"Chicago, IL, USA",,,,
,2012,"$52,008","Start-Up, ","Ann Arbor, MI, USA",,,,
,2012,"$25,000",Start-Up,"Detroit, MI",,,,
,2012,"$64,000",Academic Library/Archives,"Boston, MA, USA",,,,
,2012,"$40,000",Academic Library/Archives,"Salt Lake City, UT, USA",,,,
,2012,"$95,000","Advertising/Interactive Design Agency, Multimedia Publishing, Technology/Telecommunications","Sunnyvale, CA, USA",,,,
,2012,"$68,000",technology:software/internet,"Charleston, SC",,,,
,2012,"$40,400","Academic Library/Archives,","Ann Arbor, MI, USA",,,,
,2011,"$30,000",Museum/Historical Society,MI,,,,
,2011,"$30,000",Academic library,MI,,,,
,2011,"$30,000",Nonprofit,DC,,,,
,2011,"$32,000",Museum/Historical Society,MI,,,,
,2011,"$32,000",Library: K-12 School,MI,,,,
,2011,"$35,000",Computer: Software/Internet,MI,,,,
,2011,"$35,000",Library: Corporate/Special/Law,NY,,,,
,2011,"37,500","Advertising/PR/Marketing, ","Ontario, Canada",,,,
,2011,"$37,500",consulting,MI,,,,
,2011,"$38,500",Museum/Historical Society,MI,,,,
,2011,"$39,000",Library: K-12 School,MI,,,,
,2011,"$40,000",Library: Public,PA,,,,
,2011,"$40,000","Computer:Software/Internet, ",MI,,,,
,2011,"$40,000",Government,VA,,,,
,2011,"$40,000","Library: Corporate/Special/Law, ",MI,,,,
,2011,"$41,000",Academic library,MI,,,,
,2011,"$41,500",Academic library,SC,,,,
,2011,"$42,000",Library: Public,CO,,,,
,2011,"$42,000",Academic Archive,MI,,,,
,2011,"$42,500",Academic library,IN,,,,
,2011,"$42,500",Academic library,MS,,,,
,2011,"42,500",Academic library,VA,,,,
,2011,"$42,500",Academic library,PA,,,,
,2011,"$43,000",Multimedia/Publishing,MI,,,,
,2011,"$45,000","Library: Public, ",MA,,,,
,2011,"45,000",Academic library,UT,,,,
,2011,"$45,500",Academic library,OH,,,,
,2011,"$46,000",University/College,VA,,,,
,2011,"$47,000",Academic library,NY,,,,
,2011,"$47,000",Academic library,PA,,,,
,2011,"$47,500",Art/Entertainment,CA,,,,
,2011,"$47,500",Library: K12 School,MI,,,,
,2011,"$47,500",Academic Library,MI,,,,
,2011,"$48,000",Multimedia/Publishing,MI,,,,
,2011,"$48,000",Library: Public,TX,,,,
,2011,"$49,000",Academic library,MI,,,,
,2011,"$49,980",University/College,MI,,,,
